eventTime,userIdentity,eventName,eventSource,awsRegion,sourceIPAddress,ts_anomaly,dbscan_anomaly,if_anomaly,if_score,cloudsentry_alert
2026-04-01 01:41:09,user_07,DeleteTrail,s3.amazonaws.com,eu-west-1,127.148.128.231,0,1,1,0.08659027444344003,1
2026-04-01 03:02:28,user_01,StopLogging,cloudtrail.amazonaws.com,us-east-1,201.75.207.173,0,0,1,0.08069609378455123,0
2026-04-01 03:12:37,user_07,GetObject,cloudtrail.amazonaws.com,ap-south-1,10.187.20.136,0,0,0,-0.07547297947772835,0
2026-04-01 03:21:25,user_11,StopLogging,kms.amazonaws.com,us-east-1,193.193.174.46,0,0,1,0.0981953593754844,0
2026-04-01 03:30:08,user_05,PutBucketPolicy,iam.amazonaws.com,us-east-1,41.164.218.118,0,0,1,0.08587138608325329,0
2026-04-01 03:37:17,user_11,CreateAccessKey,s3.amazonaws.com,us-west-2,59.22.18.113,0,0,1,0.09273007582777582,0
2026-04-01 03:45:33,user_01,DeleteUser,dynamodb.amazonaws.com,ap-south-1,134.205.156.181,0,1,1,0.08661922078823969,1
2026-04-01 04:00:46,user_07,AssumeRole,iam.amazonaws.com,ap-south-1,10.187.20.188,0,0,0,-0.09044030937921654,0
2026-04-01 04:04:46,user_11,StopLogging,ec2.amazonaws.com,us-east-1,117.14.102.57,0,1,1,0.08961456007514013,1
2026-04-01 05:06:05,user_06,ListBuckets,iam.amazonaws.com,eu-west-1,10.157.37.176,0,1,0,-0.019112678757760126,0
2026-04-01 05:14:52,user_07,ListUsers,dynamodb.amazonaws.com,ap-south-1,10.187.20.37,0,0,0,-0.07196341809349582,0
2026-04-01 05:20:19,user_06,ListUsers,kms.amazonaws.com,ap-south-1,10.157.37.214,0,0,0,-0.0816524994248331,0
2026-04-01 05:27:23,user_07,DescribeInstances,dynamodb.amazonaws.com,ap-south-1,10.187.20.139,0,1,0,-0.028384514872434097,0
2026-04-01 05:37:17,user_04,DescribeInstances,cloudtrail.amazonaws.com,ap-south-1,10.103.151.158,0,1,0,-0.06629996606790778,0
2026-04-01 06:06:27,user_07,AssumeRole,cloudtrail.amazonaws.com,ap-south-1,10.187.20.67,0,0,0,-0.09748487042813869,0
2026-04-01 06:14:05,user_04,AssumeRole,ec2.amazonaws.com,us-east-1,10.103.151.37,0,1,1,0.036551263654034494,1
2026-04-01 06:16:40,user_07,DescribeInstances,iam.amazonaws.com,ap-south-1,10.187.20.45,0,0,0,-0.10010825287688874,0
2026-04-01 06:22:27,user_04,DescribeInstances,cloudtrail.amazonaws.com,ap-south-1,10.103.151.248,0,1,0,-0.07013004718887195,0
2026-04-01 06:25:07,user_04,ListBuckets,cloudtrail.amazonaws.com,us-east-1,10.103.151.154,0,1,1,0.038118747309884626,1
2026-04-01 06:31:02,user_07,DescribeInstances,kms.amazonaws.com,ap-south-1,10.187.20.41,0,0,0,-0.09252367549271667,0
2026-04-01 06:34:39,user_07,DescribeInstances,dynamodb.amazonaws.com,ap-south-1,10.187.20.177,0,0,0,-0.07828793432964543,0
2026-04-01 07:00:49,user_09,GetObject,ec2.amazonaws.com,ap-south-1,10.88.48.148,0,0,0,-0.21434518008861003,0
2026-04-01 07:01:59,user_09,GetParameter,ec2.amazonaws.com,ap-south-1,10.88.48.154,0,0,0,-0.19971507509331599,0
2026-04-01 07:03:06,user_07,DescribeInstances,s3.amazonaws.com,ap-south-1,10.187.20.173,0,0,0,-0.20179696802975733,0
2026-04-01 07:04:29,user_07,GetParameter,iam.amazonaws.com,ap-south-1,10.187.20.45,0,0,0,-0.20392838681153513,0
2026-04-01 07:06:02,user_07,GetObject,kms.amazonaws.com,ap-south-1,10.187.20.1,0,0,0,-0.19801121909479352,0
2026-04-01 07:10:45,user_06,DescribeStacks,s3.amazonaws.com,ap-south-1,10.157.37.119,0,0,0,-0.20349041387364708,0
2026-04-01 07:13:16,user_09,ListBuckets,dynamodb.amazonaws.com,ap-south-1,10.88.48.212,0,0,0,-0.13542827071962854,0
2026-04-01 07:13:35,user_06,GetObject,s3.amazonaws.com,ap-south-1,10.157.37.77,0,0,0,-0.20252829325351368,0
2026-04-01 07:15:02,user_06,DescribeInstances,iam.amazonaws.com,ap-south-1,10.157.37.40,0,0,0,-0.20567745382584135,0
2026-04-01 07:16:36,user_07,AssumeRole,cloudtrail.amazonaws.com,ap-south-1,10.187.20.64,0,0,0,-0.19599948602532952,0
2026-04-01 07:19:36,user_07,DescribeInstances,kms.amazonaws.com,ap-south-1,10.187.20.253,0,0,0,-0.18440156610012987,0
2026-04-01 07:21:02,user_06,ListUsers,dynamodb.amazonaws.com,ap-south-1,10.157.37.218,0,0,0,-0.17957728958055186,0
2026-04-01 07:27:32,user_09,PutItem,dynamodb.amazonaws.com,ap-south-1,10.88.48.56,0,0,0,-0.16795008326644578,0
2026-04-01 07:29:14,user_06,DescribeInstances,s3.amazonaws.com,ap-south-1,10.157.37.16,0,0,0,-0.200371093191414,0
2026-04-01 07:31:31,user_09,PutItem,cloudtrail.amazonaws.com,ap-south-1,10.88.48.114,0,0,0,-0.20272644854843663,0
2026-04-01 07:33:08,user_09,GetObject,iam.amazonaws.com,ap-south-1,10.88.48.214,0,0,0,-0.21453000827240026,0
2026-04-01 07:34:44,user_07,DescribeStacks,s3.amazonaws.com,ap-south-1,10.187.20.122,0,0,0,-0.20570988129214773,0
2026-04-01 07:36:48,user_07,DescribeSecurityGroups,s3.amazonaws.com,ap-south-1,10.187.20.51,0,0,0,-0.19347347660162856,0
2026-04-01 07:37:18,user_09,AssumeRole,iam.amazonaws.com,ap-south-1,10.88.48.248,0,0,0,-0.1578775148349048,0
2026-04-01 07:37:44,user_03,DescribeSecurityGroups,cloudtrail.amazonaws.com,eu-west-1,10.202.87.125,0,1,0,-0.17304384149899804,0
2026-04-01 07:41:59,user_07,GetItem,iam.amazonaws.com,ap-south-1,10.187.20.196,0,0,0,-0.19041509857151356,0
2026-04-01 07:46:47,user_08,ListBuckets,cloudtrail.amazonaws.com,ap-south-1,10.57.21.105,0,0,0,-0.13430635046785494,0
2026-04-01 07:48:00,user_09,DescribeSecurityGroups,iam.amazonaws.com,ap-south-1,10.88.48.233,0,0,0,-0.19896003520798677,0
2026-04-01 07:48:52,user_09,DescribeStacks,kms.amazonaws.com,ap-south-1,10.88.48.63,0,0,0,-0.20166447027194406,0
2026-04-01 07:51:22,user_04,ListUsers,kms.amazonaws.com,ap-south-1,10.103.151.6,0,0,0,-0.16320464777631427,0
2026-04-01 07:53:11,user_07,DescribeSecurityGroups,iam.amazonaws.com,ap-south-1,10.187.20.93,0,0,0,-0.12086935072506877,0
